timestamp,mango_id,quality_grade,suggested_channel,maturity_label,reference_brix_range,rot_status,final_status,consistency_label,stable_frames,yolo_label,yolo_confidence,reason
2026-07-18 03:02:32,124,剔除,剔除通道,未熟,不建议参考,腐烂/建议剔除,建议剔除,高,11,mango_unripe,0.6695,芒果#124连续检测11帧; 多帧稳定性高; 视觉判断mango_unripe; 未读取到光谱数据; 成熟度=未熟; 糖度=过熟异常，糖度参考不可靠; 腐烂=腐烂/建议剔除
2026-07-18 03:03:01,125,C级,复检通道,未熟,12-16 Brix,疑似腐烂,需要复检,高,19,mango_unripe,0.7847,芒果#125连续检测19帧; 多帧稳定性高; 视觉判断mango_unripe; 未读取到光谱数据; 成熟度=未熟; 糖度=中等; 腐烂=疑似腐烂
2026-07-18 03:03:12,126,C级,复检通道,未熟,12-16 Brix,疑似腐烂,需要复检,高,17,mango_unripe,0.8039,芒果#126连续检测17帧; 多帧稳定性高; 视觉判断mango_unripe; 未读取到光谱数据; 成熟度=未熟; 糖度=中等; 腐烂=疑似腐烂
2026-07-18 03:04:09,127,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,8,mango_overripe,0.7303,芒果#127连续检测8帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-18 03:04:38,128,C级,复检通道,成熟,16-20 Brix,疑似腐烂,需要复检,高,5,mango_overripe,0.5737,芒果#128连续检测5帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-18 03:05:02,129,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,14,mango_ripe,0.6292,芒果#129连续检测14帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:01:59,130,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,9,mango_ripe,0.7476,芒果#130连续检测9帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:03:01,131,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,13,mango_ripe,0.5780,芒果#131连续检测13帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:39:52,132,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,4,mango_ripe,0.5891,芒果#132连续检测4帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:40:22,133,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,4,mango_ripe,0.5891,芒果#133连续检测4帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:41:15,134,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,13,mango_ripe,0.6681,芒果#134连续检测13帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:41:29,135,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,16,mango_ripe,0.7303,芒果#135连续检测16帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:42:29,136,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,15,mango_ripe,0.7216,芒果#136连续检测15帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:42:42,137,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,15,mango_ripe,0.6294,芒果#137连续检测15帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:42:59,138,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,10,mango_ripe,0.6429,芒果#138连续检测10帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:43:09,139,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,13,mango_ripe,0.7222,芒果#139连续检测13帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:43:23,140,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,12,mango_ripe,0.6203,芒果#140连续检测12帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 01:43:32,141,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,12,mango_ripe,0.6131,芒果#141连续检测12帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 04:41:57,142,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,4,mango_ripe,0.5760,芒果#142连续检测4帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 04:43:16,143,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,40,mango_ripe,0.8369,芒果#143连续检测40帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 04:43:38,144,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,28,mango_ripe,0.8696,芒果#144连续检测28帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
2026-07-19 04:44:06,145,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,37,mango_ripe,0.8077,芒果#145连续检测37帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 04:44:30,146,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,28,mango_ripe,0.8304,芒果#146连续检测28帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 04:44:44,147,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,16,mango_ripe,0.6597,芒果#147连续检测16帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 04:45:05,148,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,33,mango_ripe,0.8083,芒果#148连续检测33帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
2026-07-19 04:46:25,149,A级,销售通道,成熟,12-16 Brix,正常,可接受,高,11,mango_ripe,0.6583,芒果#149连续检测11帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=中等; 腐烂=正常
2026-07-19 04:46:55,150,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,20,mango_overripe,0.7275,芒果#150连续检测20帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 04:47:12,151,C级,复检通道,未熟,12-16 Brix,疑似腐烂,需要复检,高,19,mango_unripe,0.6851,芒果#151连续检测19帧; 多帧稳定性高; 视觉判断mango_unripe; 未读取到光谱数据; 成熟度=未熟; 糖度=中等; 腐烂=疑似腐烂
2026-07-19 04:49:33,152,剔除,剔除通道,成熟,不建议参考,腐烂/建议剔除,建议剔除,高,9,mango_ripe,0.7206,芒果#152连续检测9帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=过熟异常，糖度参考不可靠; 腐烂=腐烂/建议剔除
2026-07-19 04:51:56,153,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,40,mango_ripe,0.9116,芒果#153连续检测40帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
2026-07-19 04:52:10,154,B级,催熟通道,未熟,12-16 Brix,正常,可接受,高,4,mango_unripe,0.5850,芒果#154连续检测4帧; 多帧稳定性高; 视觉判断mango_unripe; 未读取到光谱数据; 成熟度=未熟; 糖度=中等; 腐烂=正常
2026-07-19 04:52:54,155,C级,复检通道,未熟,12-16 Brix,疑似腐烂,需要复检,高,40,mango_unripe,0.7711,芒果#155连续检测40帧; 多帧稳定性高; 视觉判断mango_unripe; 未读取到光谱数据; 成熟度=未熟; 糖度=中等; 腐烂=疑似腐烂
2026-07-19 04:58:09,156,剔除,剔除通道,未熟,不建议参考,腐烂/建议剔除,建议剔除,高,16,mango_unripe,0.6936,芒果#156连续检测16帧; 多帧稳定性高; 视觉判断mango_unripe; 未读取到光谱数据; 成熟度=未熟; 糖度=过熟异常，糖度参考不可靠; 腐烂=腐烂/建议剔除
2026-07-19 04:58:25,157,剔除,剔除通道,未熟,不建议参考,腐烂/建议剔除,建议剔除,高,33,mango_unripe,0.7711,芒果#157连续检测33帧; 多帧稳定性高; 视觉判断mango_unripe; 未读取到光谱数据; 成熟度=未熟; 糖度=过熟异常，糖度参考不可靠; 腐烂=腐烂/建议剔除
2026-07-19 05:05:51,158,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,40,mango_ripe,0.9147,芒果#158连续检测40帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
2026-07-19 05:06:10,159,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,40,mango_overripe,0.8649,芒果#159连续检测40帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 05:06:16,160,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,40,mango_overripe,0.8436,芒果#160连续检测40帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 05:06:26,161,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,27,mango_ripe,0.6508,芒果#161连续检测27帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
2026-07-19 05:06:37,162,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,40,mango_overripe,0.8766,芒果#162连续检测40帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 05:07:00,163,C级,复检通道,过熟,16-20 Brix,疑似腐烂,需要复检,高,40,mango_overripe,0.8771,芒果#163连续检测40帧; 多帧稳定性高; 视觉判断mango_overripe; 未读取到光谱数据; 成熟度=过熟; 糖度=较高; 腐烂=疑似腐烂
2026-07-19 05:07:20,164,剔除,剔除通道,未熟,不建议参考,腐烂/建议剔除,建议剔除,高,40,mango_unripe,0.8935,芒果#164连续检测40帧; 多帧稳定性高; 视觉判断mango_unripe; 未读取到光谱数据; 成熟度=未熟; 糖度=过熟异常，糖度参考不可靠; 腐烂=腐烂/建议剔除
2026-07-19 05:18:31,165,A级,销售通道,成熟,16-20 Brix,正常,可接受,高,30,mango_ripe,0.7609,芒果#165连续检测30帧; 多帧稳定性高; 视觉判断mango_ripe; 未读取到光谱数据; 成熟度=成熟; 糖度=较高; 腐烂=正常
